id,start,end,nom,resp,dep,iddep
1,2013-04-26,,"Generalitat de Catalunya","Artur Mas i Gavarró","Generalitat de Catalunya",1
5,2013-04-26,,"Gabinet de Relacions Externes i Protocol","Carles Fabró i Ràfols","Departament de la Presidència",6
6,2013-04-26,,"Departament de la Presidència","Francesc Homs i Molist","Departament de la Presidència",6
11,2013-04-26,,"Delegació del Govern de la Generalitat a Madrid","Jordi Casas i Bedós","Departament de la Presidència",6
14,2013-04-26,,"Secretaria General de la Presidència","Jordi Vilajoana i Rovira","Departament de la Presidència",6
24,2013-04-26,,"Secretaria de la Comissió Jurídica Assessora","Gabriel Capilla i Vidal","Departament de la Presidència",6
29,2013-04-26,,"Patronat Catalunya Món - Consell de Diplomàcia Pública de Catalunya (PCM - DIPLOCAT)","Albert Royo i Mariné","Departament de la Presidència",6
32,2013-04-26,2014-06-12,"Oficina a Lleida del Patronat Catalunya Món - Consell de Diplomàcia Pública de Catalunya","null","Departament de la Presidència",6
33,2013-04-26,2014-06-12,"Oficina a Girona del Patronat Catalunya Món - Consell de Diplomàcia Pública de Catalunya","null","Departament de la Presidència",6
34,2013-04-26,2014-06-12,"Oficina a Tarragona del Patronat Catalunya Món - Consell de Diplomàcia Pública de Catalunya","null","Departament de la Presidència",6
35,2013-04-26,,"Direcció de Serveis","Teresa Prohias i Ricart","Departament de la Presidència",6
42,2013-04-26,,"Responsable de Tramitació de Contractes i Convenis del Departament de la Presidència","Conxita Castañé i Sevillano","Departament de la Presidència",6
45,2013-04-26,,"Servei de Recursos Humans","M. del Mar Brugarolas Sellés","Departament de la Presidència",6
51,2013-04-26,,"Subdirecció General d'Obres i Serveis","Miquel Angel Ramos Santiago","Departament de la Presidència",6
62,2013-04-26,,"Institut Català de les Dones (ICD)","Montserrat Gatell i Pérez ","Departament de Benestar Social i Família",5823
66,2013-04-26,,"Àrea de Planificació i Seguiment del Pla d'Actuació del Govern (ICD)","Núria Cañellas Pascual","Departament de Benestar Social i Família",5823
69,2013-04-26,,"Oficina d'Informació a Barcelona (ICD)","null","Departament de Benestar Social i Família",5823
70,2013-04-26,,"Oficina d'Informació a Girona (ICD)","Montserrat Blanco Carbó","Departament de Benestar Social i Família",5823
71,2013-04-26,,"Oficina d'Informació a Lleida (ICD)","Carme Castelló Gistau","Departament de Benestar Social i Família",5823
72,2013-04-26,,"Oficina d'Informació a Tarragona (ICD)","Dolors Daroca Cruset","Departament de Benestar Social i Família",5823
73,2013-04-26,,"Patronat de la Muntanya de Montserrat","Joan Rigol i Roig ","Departament de la Presidència",6
78,2013-04-26,,"Direcció General d'Atenció Ciutadana i Difusió","Ignasi Genovès i Avellana ","Departament de la Presidència",6
81,2013-04-26,,"Àrea d'Atenció Presencial","null","Departament de la Presidència",6
82,2013-04-26,,"Subdirecció General de Difusió","Carme Cañadell i Valls","Departament de la Presidència",6
85,2013-04-26,,"Direcció General de Mitjans de Comunicació","Antoni Molons i Garcia","Departament de la Presidència",6
90,2013-04-26,,"Entitat Autònoma del Diari Oficial i de Publicacions de la Generalitat de Catalunya (EADOP)","Jaume Domingo i Planas","Departament de la Presidència",6
92,2013-04-26,,"Subdirecció General del Diari Oficial i d'Administració (EADOP)","Guillem Carbonell i Armengol","Departament de la Presidència",6
93,2013-04-26,,"Servei de Recursos Humans i Règim Interior (EADOP)","Joaquim Claveria i Salcedo","Departament de la Presidència",6
94,2013-04-26,,"Àrea de Producció i Serveis Editorials (EADOP)","Lluís Prat i Francisco","Departament de la Presidència",6
95,2013-04-26,,"Àrea de Publicació Oficial (EADOP)","Rosa Pérez Robles","Departament de la Presidència",6
96,2013-04-26,,"Àrea Comercial (EADOP)","Pere Artasu i Peris","Departament de la Presidència",6
97,2013-04-26,,"Subdirecció General de Publicacions (EADOP)","Raimon Alamany i Sesé","Departament de la Presidència",6
